Date,Type,Name,Status,Priority
2026-02-02,Habit,"400 calories burn ❤️‍🔥",Completed,N/A
2026-02-03,Habit,"400 calories burn ❤️‍🔥",Completed,N/A
2026-02-04,Habit,"400 calories burn ❤️‍🔥",Completed,N/A
2026-02-05,Habit,"400 calories burn ❤️‍🔥",Completed,N/A
2026-02-06,Habit,"400 calories burn ❤️‍🔥",Completed,N/A
2026-02-07,Habit,"400 calories burn ❤️‍🔥",Completed,N/A
2026-02-08,Habit,"400 calories burn ❤️‍🔥",Completed,N/A
2026-02-09,Habit,"Gym",Completed,N/A
2026-02-09,Habit,"400 calories burn ❤️‍🔥",Completed,N/A
2026-02-09,Habit,"Wake up at 06:00 AM ⏰",Completed,N/A
2026-02-10,Habit,"Cardio ",Completed,N/A
2026-02-10,Habit,"400 calories burn ❤️‍🔥",Completed,N/A
2026-02-10,Habit,"Wake up at 06:00 AM ⏰",Completed,N/A
2026-02-10,Habit,"Gym",Completed,N/A
2026-02-09,Task,"External work",Completed,high
2026-02-09,Task,"Understanding 5 interview questions ",Completed,medium
2026-02-09,Task,"Vstands4u classes ",Completed,medium
2026-02-10,Task,"Vstands4u classes and presentation ",Pending,medium
2026-02-10,Task,"External work ",Pending,high
2026-02-10,Task,"Understanding 10 interview questions on JS",Pending,high
